keyword,category,level,added
Taiwan Independence,政治敏感,3,2025-8-20
Tibetan Independence,政治敏感,3,2025-8-20
Falun Gong,政治敏感,3,2025-8-20
Subverting the Country,政治敏感,3,2025-8-20
Reactionary Speech,政治敏感,3,2025-8-20
June Fourth Incident,政治敏感,3,2025-8-20
Princelings,政治敏感,3,2025-8-20
Voice of America,政治敏感,3,2025-8-20
Rights Defense,政治敏感,3,2025-8-20
Xi Jinping,政治敏感,3,2025-8-20
Steamed Bun,政治敏感,3,2025-8-20
Democracy Movement,政治敏感,3,2025-8-20
Political Reform,政治敏感,3,2025-8-20
Corruption,政治敏感,3,2025-8-20
Power Struggle,政治敏感,3,2025-8-20
Cult,宗教敏感,3,2025-8-20
Religious Extremism,宗教敏感,3,2025-8-20
Religious Hatred,宗教敏感,3,2025-8-20
Christianity,宗教敏感,3,2025-8-20
Catholicism,宗教敏感,3,2025-8-20
Islam,宗教敏感,3,2025-8-20
Buddhism,宗教敏感,3,2025-8-20
Falun Dafa,宗教敏感,3,2025-8-20
Heresy,宗教敏感,3,2025-8-20
Religious Persecution,宗教敏感,3,2025-8-20
LGBTQ Propaganda,LGBT,2,2025-8-20
Same-Sex Marriage,LGBT,2,2025-8-20
Gender Identity,LGBT,2,2025-8-20
Sexual Orientation,LGBT,2,2025-8-20
Transgender,LGBT,2,2025-8-20
Transsexual,LGBT,2,2025-8-20
Queer Theory,LGBT,2,2025-8-20
Gender Fluidity,LGBT,2,2025-8-20
Ethnic Hatred,民族敏感,3,2025-8-20
Racial Discrimination,民族敏感,3,2025-8-20
Ethnic Separatism,民族敏感,3,2025-8-20
Racial Superiority,民族敏感,3,2025-8-20
Xinjiang Independence,民族敏感,3,2025-8-20
Uyghur Independence,民族敏感,3,2025-8-20
Mongolian Independence,民族敏感,3,2025-8-20
Tibetan Self-Determination,民族敏感,3,2025-8-20
Distorting History,历史敏感,3,2025-8-20
Glorifying Invasion,历史敏感,3,2025-8-20
Denying the Holocaust,历史敏感,3,2025-8-20
Tampering with History,历史敏感,3,2025-8-20
Cultural Revolution,历史敏感,3,2025-8-20
Tiananmen Incident,历史敏感,3,2025-8-20
Historical Nihilism,历史敏感,3,2025-8-20
Nanjing Massacre Denial,历史敏感,3,2025-8-20
Illegal Methods,法律敏感,2,2025-8-20
Criminal Methods,法律敏感,2,2025-8-20
Evading the Law,法律敏感,2,2025-8-20
Judicial Corruption,法律敏感,2,2025-8-20
Illegal Assembly,法律敏感,2,2025-8-20
Incitement to Subvert,法律敏感,2,2025-8-20
Leaking State Secrets,法律敏感,2,2025-8-20
Espionage,法律敏感,2,2025-8-20
Vulgar,社会敏感,2,2025-8-20
Obscene,社会敏感,2,2025-8-20
Pornographic,社会敏感,2,2025-8-20
Violence,社会敏感,2,2025-8-20
Terrorism,社会敏感,2,2025-8-20
Drug Trafficking,社会敏感,2,2025-8-20
Gambling,社会敏感,2,2025-8-20
Online Rumors,社会敏感,2,2025-8-20
False Information,其他敏感,2,2025-8-20
Rumors,其他敏感,2,2025-8-20
Personal Attacks,其他敏感,2,2025-8-20
Defamation,其他敏感,2,2025-8-20
Sensitive Figures,其他敏感,2,2025-8-20
Hong Kong Independence,其他敏感,2,2025-8-20
Internet Censorship,其他敏感,2,2025-8-20
Circumvention,其他敏感,2,2025-8-20
